"V0001";"V0002";"V1006";"V0010";"V0011";"V0502";"V0601";"V6036";"V6037"
"31";"43302";1;9.1034700804539;"3143302005001";12;"2";54;
"31";"43302";1;9.3910500341821;"3143302005001";2;"2";19;
"31";"43302";1;9.3910500341821;"3143302005001";1;"1";30;
"31";"43302";1;10.1073577680801;"3143302005001";1;"2";23;
"31";"43302";1;6.0944395320562;"3143302005001";1;"2";26;
"31";"43302";1;6.0944395320562;"3143302005001";12;"2";30;
"31";"43302";1;6.0944395320562;"3143302005001";16;"2";28;
"31";"43302";1;6.0944395320562;"3143302005001";14;"2";1;
"31";"43302";1;6.0944395320562;"3143302005001";14;"1";30;
"31";"43302";1;12.4795604734626;"3143302005001";2;"2";44;
"31";"43302";1;12.4795604734626;"3143302005001";1;"1";31;
"31";"43302";1;1.9129488927802;"3143302005001";1;"2";51;
"31";"43302";1;1.9129488927802;"3143302005001";5;"2";23;
"31";"43302";1;1.9129488927802;"3143302005001";5;"1";14;
"31";"43302";1;1.9129488927802;"3143302005001";5;"1";17;
"31";"43302";1;1.9129488927802;"3143302005001";5;"2";22;
"31";"43302";1;8.9077125034601;"3143302005001";1;"1";69;
"31";"43302";1;8.9077125034601;"3143302005001";4;"2";38;
"31";"43302";1;8.9077125034601;"3143302005001";2;"2";68;
"31";"43302";1;11.2112656008479;"3143302005001";1;"1";43;
"31";"43302";1;11.1473885176001;"3143302005001";1;"1";38;
"31";"43302";1;13.4898521457076;"3143302005001";20;"2";15;
"31";"43302";1;10.2484156696649;"3143302005001";1;"1";51;
"31";"43302";1;6.2771251992209;"3143302005001";2;"2";37;
"31";"43302";1;6.2771251992209;"3143302005001";4;"2";1;
"31";"43302";1;6.2771251992209;"3143302005001";1;"1";38;
"31";"43302";1;17.5640405928672;"3143302005001";1;"2";60;
"31";"43302";1;17.5640405928672;"3143302005001";10;"2";9;
"31";"43302";1;17.5640405928672;"3143302005001";5;"2";33;
"31";"43302";1;17.5640405928672;"3143302005001";2;"1";61;
"31";"43302";1;11.4512082343698;"3143302005001";1;"1";60;
